cherry_0 - DSBs£º22, CMSBs£º21, Accuracy: 1.0, Miss_rate: 0.045454545454545456
cherry_10 - DSBs£º22, CMSBs£º22, Accuracy: 0.8636363636363636, Miss_rate: 0.0
cherry_11 - DSBs£º34, CMSBs£º34, Accuracy: 0.8235294117647058, Miss_rate: 0.0
cherry_12 - DSBs£º38, CMSBs£º38, Accuracy: 0.7368421052631579, Miss_rate: 0.0
cherry_13 - DSBs£º31, CMSBs£º31, Accuracy: 0.9354838709677419, Miss_rate: 0.0
cherry_14 - DSBs£º26, CMSBs£º26, Accuracy: 0.9230769230769231, Miss_rate: 0.0
cherry_15 - DSBs£º26, CMSBs£º26, Accuracy: 0.7307692307692307, Miss_rate: 0.0
cherry_16 - DSBs£º22, CMSBs£º22, Accuracy: 0.9545454545454546, Miss_rate: 0.0
cherry_17 - DSBs£º23, CMSBs£º23, Accuracy: 0.8695652173913043, Miss_rate: 0.0
cherry_18 - DSBs£º30, CMSBs£º29, Accuracy: 0.896551724137931, Miss_rate: 0.03333333333333333
cherry_19 - DSBs£º29, CMSBs£º29, Accuracy: 0.9655172413793104, Miss_rate: 0.0
cherry_1 - DSBs£º31, CMSBs£º31, Accuracy: 0.9032258064516129, Miss_rate: 0.0
cherry_2 - DSBs£º28, CMSBs£º28, Accuracy: 0.8571428571428571, Miss_rate: 0.0
cherry_3 - DSBs£º22, CMSBs£º22, Accuracy: 1.0, Miss_rate: 0.0
cherry_4 - DSBs£º30, CMSBs£º30, Accuracy: 0.8666666666666667, Miss_rate: 0.0
cherry_5 - DSBs£º29, CMSBs£º28, Accuracy: 0.8928571428571429, Miss_rate: 0.034482758620689655
cherry_6 - DSBs£º27, CMSBs£º27, Accuracy: 0.9259259259259259, Miss_rate: 0.0
cherry_7 - DSBs£º30, CMSBs£º30, Accuracy: 0.9, Miss_rate: 0.0
cherry_8 - DSBs£º22, CMSBs£º22, Accuracy: 0.9545454545454546, Miss_rate: 0.0
cherry_9 - DSBs£º29, CMSBs£º28, Accuracy: 0.9285714285714286, Miss_rate: 0.034482758620689655
hawthorn_0 - DSBs£º42, CMSBs£º42, Accuracy: 0.8333333333333334, Miss_rate: 0.0
hawthorn_10 - DSBs£º35, CMSBs£º35, Accuracy: 0.9142857142857143, Miss_rate: 0.0
hawthorn_11 - DSBs£º30, CMSBs£º30, Accuracy: 0.8333333333333334, Miss_rate: 0.0
hawthorn_12 - DSBs£º29, CMSBs£º29, Accuracy: 0.8275862068965517, Miss_rate: 0.0
hawthorn_13 - DSBs£º39, CMSBs£º39, Accuracy: 0.8717948717948718, Miss_rate: 0.0
hawthorn_14 - DSBs£º35, CMSBs£º34, Accuracy: 0.7647058823529411, Miss_rate: 0.02857142857142857
hawthorn_15 - DSBs£º23, CMSBs£º23, Accuracy: 0.8695652173913043, Miss_rate: 0.0
hawthorn_16 - DSBs£º22, CMSBs£º22, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_17 - DSBs£º20, CMSBs£º20, Accuracy: 0.9, Miss_rate: 0.0
hawthorn_18 - DSBs£º24, CMSBs£º24, Accuracy: 0.9166666666666666, Miss_rate: 0.0
hawthorn_19 - DSBs£º30, CMSBs£º30, Accuracy: 0.9666666666666667, Miss_rate: 0.0
hawthorn_1 - DSBs£º32, CMSBs£º32, Accuracy: 0.84375, Miss_rate: 0.0
hawthorn_2 - DSBs£º39, CMSBs£º39, Accuracy: 0.8205128205128205, Miss_rate: 0.0
hawthorn_3 - DSBs£º41, CMSBs£º41, Accuracy: 0.8292682926829268, Miss_rate: 0.0
hawthorn_4 - DSBs£º38, CMSBs£º38, Accuracy: 0.8157894736842105, Miss_rate: 0.0
hawthorn_5 - DSBs£º27, CMSBs£º27, Accuracy: 0.7407407407407407, Miss_rate: 0.0
hawthorn_6 - DSBs£º33, CMSBs£º33, Accuracy: 0.9393939393939394, Miss_rate: 0.0
hawthorn_7 - DSBs£º28, CMSBs£º28, Accuracy: 0.8928571428571429, Miss_rate: 0.0
hawthorn_8 - DSBs£º19, CMSBs£º19, Accuracy: 0.9473684210526315, Miss_rate: 0.0
hawthorn_9 - DSBs£º33, CMSBs£º32, Accuracy: 0.8125, Miss_rate: 0.030303030303030304
olive_0 - DSBs£º30, CMSBs£º30, Accuracy: 0.8666666666666667, Miss_rate: 0.0
olive_10 - DSBs£º30, CMSBs£º29, Accuracy: 0.7931034482758621, Miss_rate: 0.03333333333333333
olive_11 - DSBs£º30, CMSBs£º30, Accuracy: 0.8, Miss_rate: 0.0
olive_12 - DSBs£º26, CMSBs£º25, Accuracy: 0.84, Miss_rate: 0.038461538461538464
olive_13 - DSBs£º22, CMSBs£º22, Accuracy: 1.0, Miss_rate: 0.0
olive_14 - DSBs£º26, CMSBs£º26, Accuracy: 0.8076923076923077, Miss_rate: 0.0
olive_15 - DSBs£º24, CMSBs£º21, Accuracy: 0.9047619047619048, Miss_rate: 0.125
olive_16 - DSBs£º32, CMSBs£º32, Accuracy: 0.78125, Miss_rate: 0.0
olive_17 - DSBs£º28, CMSBs£º27, Accuracy: 0.8148148148148148, Miss_rate: 0.03571428571428571
olive_18 - DSBs£º33, CMSBs£º32, Accuracy: 0.75, Miss_rate: 0.030303030303030304
olive_19 - DSBs£º28, CMSBs£º28, Accuracy: 0.7857142857142857, Miss_rate: 0.0
olive_1 - DSBs£º19, CMSBs£º19, Accuracy: 1.0, Miss_rate: 0.0
olive_2 - DSBs£º27, CMSBs£º27, Accuracy: 0.7777777777777778, Miss_rate: 0.0
olive_3 - DSBs£º29, CMSBs£º28, Accuracy: 0.9642857142857143, Miss_rate: 0.034482758620689655
olive_4 - DSBs£º28, CMSBs£º28, Accuracy: 0.7142857142857143, Miss_rate: 0.0
olive_5 - DSBs£º33, CMSBs£º31, Accuracy: 0.8709677419354839, Miss_rate: 0.06060606060606061
olive_6 - DSBs£º41, CMSBs£º41, Accuracy: 0.8048780487804879, Miss_rate: 0.0
olive_7 - DSBs£º27, CMSBs£º26, Accuracy: 0.7692307692307693, Miss_rate: 0.037037037037037035
olive_8 - DSBs£º34, CMSBs£º34, Accuracy: 0.8529411764705882, Miss_rate: 0.0
olive_9 - DSBs£º28, CMSBs£º28, Accuracy: 0.9285714285714286, Miss_rate: 0.0
plum_0 - DSBs£º19, CMSBs£º19, Accuracy: 0.7368421052631579, Miss_rate: 0.0
plum_10 - DSBs£º23, CMSBs£º23, Accuracy: 0.8260869565217391, Miss_rate: 0.0
plum_11 - DSBs£º24, CMSBs£º24, Accuracy: 0.7916666666666666, Miss_rate: 0.0
plum_12 - DSBs£º26, CMSBs£º26, Accuracy: 0.8846153846153846, Miss_rate: 0.0
plum_13 - DSBs£º22, CMSBs£º22, Accuracy: 0.7272727272727273, Miss_rate: 0.0
plum_14 - DSBs£º28, CMSBs£º28, Accuracy: 0.8214285714285714, Miss_rate: 0.0
plum_15 - DSBs£º24, CMSBs£º24, Accuracy: 0.8333333333333334, Miss_rate: 0.0
plum_16 - DSBs£º27, CMSBs£º27, Accuracy: 0.9259259259259259, Miss_rate: 0.0
plum_17 - DSBs£º29, CMSBs£º29, Accuracy: 0.8275862068965517, Miss_rate: 0.0
plum_18 - DSBs£º22, CMSBs£º22, Accuracy: 0.7727272727272727, Miss_rate: 0.0
plum_19 - DSBs£º30, CMSBs£º30, Accuracy: 0.8666666666666667, Miss_rate: 0.0
plum_1 - DSBs£º21, CMSBs£º21, Accuracy: 0.9523809523809523, Miss_rate: 0.0
plum_2 - DSBs£º22, CMSBs£º21, Accuracy: 0.8095238095238095, Miss_rate: 0.045454545454545456
plum_3 - DSBs£º25, CMSBs£º25, Accuracy: 0.84, Miss_rate: 0.0
plum_4 - DSBs£º26, CMSBs£º25, Accuracy: 0.96, Miss_rate: 0.038461538461538464
plum_5 - DSBs£º23, CMSBs£º22, Accuracy: 0.8636363636363636, Miss_rate: 0.043478260869565216
plum_6 - DSBs£º23, CMSBs£º23, Accuracy: 0.8695652173913043, Miss_rate: 0.0
plum_7 - DSBs£º23, CMSBs£º23, Accuracy: 0.8260869565217391, Miss_rate: 0.0
plum_8 - DSBs£º26, CMSBs£º26, Accuracy: 0.9230769230769231, Miss_rate: 0.0
plum_9 - DSBs£º26, CMSBs£º26, Accuracy: 0.7692307692307693, Miss_rate: 0.0
walnut_0 - DSBs£º17, CMSBs£º17, Accuracy: 0.9411764705882353, Miss_rate: 0.0
walnut_10 - DSBs£º24, CMSBs£º24, Accuracy: 0.9583333333333334, Miss_rate: 0.0
walnut_11 - DSBs£º41, CMSBs£º41, Accuracy: 0.9024390243902439, Miss_rate: 0.0
walnut_12 - DSBs£º37, CMSBs£º36, Accuracy: 0.8333333333333334, Miss_rate: 0.02702702702702703
walnut_13 - DSBs£º30, CMSBs£º30, Accuracy: 0.8666666666666667, Miss_rate: 0.0
walnut_14 - DSBs£º38, CMSBs£º38, Accuracy: 0.9210526315789473, Miss_rate: 0.0
walnut_15 - DSBs£º26, CMSBs£º26, Accuracy: 0.9615384615384616, Miss_rate: 0.0
walnut_16 - DSBs£º39, CMSBs£º38, Accuracy: 0.9210526315789473, Miss_rate: 0.02564102564102564
walnut_17 - DSBs£º24, CMSBs£º24, Accuracy: 0.9583333333333334, Miss_rate: 0.0
walnut_18 - DSBs£º23, CMSBs£º22, Accuracy: 0.7727272727272727, Miss_rate: 0.043478260869565216
walnut_19 - DSBs£º30, CMSBs£º30, Accuracy: 0.9666666666666667, Miss_rate: 0.0
walnut_1 - DSBs£º21, CMSBs£º20, Accuracy: 0.95, Miss_rate: 0.047619047619047616
walnut_2 - DSBs£º25, CMSBs£º25, Accuracy: 0.76, Miss_rate: 0.0
walnut_3 - DSBs£º28, CMSBs£º28, Accuracy: 0.8571428571428571, Miss_rate: 0.0
walnut_4 - DSBs£º32, CMSBs£º32, Accuracy: 0.875, Miss_rate: 0.0
walnut_5 - DSBs£º30, CMSBs£º29, Accuracy: 0.8275862068965517, Miss_rate: 0.03333333333333333
walnut_6 - DSBs£º28, CMSBs£º28, Accuracy: 1.0, Miss_rate: 0.0
walnut_7 - DSBs£º24, CMSBs£º24, Accuracy: 0.9166666666666666, Miss_rate: 0.0
walnut_8 - DSBs£º25, CMSBs£º25, Accuracy: 0.8, Miss_rate: 0.0
walnut_9 - DSBs£º24, CMSBs£º23, Accuracy: 0.9130434782608695, Miss_rate: 0.041666666666666664
Avg.DSBs£º28.0
Accuracy£º0.8682592519178504
Miss_rate£º0.009477256049220064
