cherry_0 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_10 - DSBs£º10, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.1
cherry_11 - DSBs£º10, CMSBs£º10, Accuracy: 0.9, Miss_rate: 0.0
cherry_12 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_13 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
cherry_14 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
cherry_15 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_16 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_17 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_18 - DSBs£º6, CMSBs£º6, Accuracy: 0.8333333333333334, Miss_rate: 0.0
cherry_19 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_1 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_2 - DSBs£º6, CMSBs£º6, Accuracy: 1.0, Miss_rate: 0.0
cherry_3 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
cherry_4 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_5 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_6 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_7 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
cherry_8 - DSBs£º9, CMSBs£º9, Accuracy: 0.7777777777777778, Miss_rate: 0.0
cherry_9 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_0 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_10 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_11 - DSBs£º7, CMSBs£º7, Accuracy: 0.8571428571428571, Miss_rate: 0.0
hawthorn_12 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_13 - DSBs£º9, CMSBs£º9, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_14 - DSBs£º7, CMSBs£º7, Accuracy: 1.0, Miss_rate: 0.0
hawthorn_15 - DSBs£º7, CMSBs£º7, Accuracy: 0.8571428571428571, Miss_rate: 0.0
hawthorn_16 - DSBs£º8, CMSBs£º8, Accuracy: 1.0, Miss_rate: 0.0
